項次,業者名稱,風機編號,縣市,鄉鎮區,地段,地號,X,Y,籌設許可,工作許可,標準,環評
26,易丞風力發電股份有限公司,B18,雲林縣,四湖鄉,林厝寮段,3649,164883,2618328,已取得,未申請,TWD67,免
27,易丞風力發電股份有限公司,B19,雲林縣,四湖鄉,林厝寮段,3531,165264,2618363,已取得,未申請,TWD67,免
28,易丞風力發電股份有限公司,C05,雲林縣,四湖鄉,林厝寮段,3999,165573,2617684,已取得,未申請,TWD67,免
29,易丞風力發電股份有限公司,C07,雲林縣,四湖鄉,三崙段,70,164007,2617584,已取得,未申請,TWD67,免
30,易丞風力發電股份有限公司,C12,雲林縣,四湖鄉,北安段,1066,165582,2616508,已取得,未申請,TWD67,免
31,易丞風力發電股份有限公司,C13,雲林縣,四湖鄉,三崙段,405,164644,2616978,已取得,未申請,TWD67,免
33,易丞風力發電股份有限公司,C15,雲林縣,四湖鄉,林厝寮段,4013,165129,2617821,已取得,未申請,TWD67,免
34,易丞風力發電股份有限公司,D04,雲林縣,四湖鄉,林厝寮段,3988、3989,165862,2617595,已取得,未申請,TWD67,免
35,易丞風力發電股份有限公司,D05,雲林縣,四湖鄉,北安段,784,166049,2617372,已取得,未申請,TWD67,免
36,易丞風力發電股份有限公司,D06,雲林縣,四湖鄉,北安段,1990,165134,2616683,已取得,未申請,TWD67,免
37,易丞風力發電股份有限公司,H01,雲林縣,口湖鄉,順寮段,499,163435,2615096,已取得,未申請,TWD67,免
38,易丞風力發電股份有限公司,H05,雲林縣,口湖鄉,下崙段,3054、3055,162646,2612254,已取得,未申請,TWD67,免
39,易丞風力發電股份有限公司,H06,雲林縣,口湖鄉,下崙段,1401,162549,2610983,已取得,未申請,TWD67,免
40,易丞風力發電股份有限公司,H08,雲林縣,口湖鄉,蚵寮段,348,164375,2607920,已取得,未申請,TWD67,免
41,易丞風力發電股份有限公司,B11,雲林縣,四湖鄉,溪尾段新溪小段,163,167334,2618071,已取得,已取得,TWD67,免
42,易丞風力發電股份有限公司,B12,雲林縣,四湖鄉,溪尾段新溪小段,155,167614,2617985,已取得,已取得,TWD67,免
43,易丞風力發電股份有限公司,D07-A,雲林縣,四湖鄉,安慶段,1900,166971,2616251,已取得,未申請,TWD67,免
44,易丞風力發電股份有限公司,H09,雲林縣,口湖鄉,牛尿港段,73,162701,2609030,已取得,未申請,TWD67,免
45,易丞風力發電股份有限公司,H11,雲林縣,口湖鄉,牛尿港段,257,164369,2607346,已取得,未申請,TWD67,免
46,易丞風力發電股份有限公司,H12,雲林縣,口湖鄉,牛尿港段,257-1,163692,2607555,已取得,未申請,TWD67,免
47,創維風力發電股份有限公司,D03,雲林縣,麥寮鄉,許厝寮段後安寮小段,1525,169037,2631213,已取得,已取得,TWD67,免
48,創維風力發電股份有限公司,C05,雲林縣,麥寮鄉,許厝寮段後安寮小段,1600,168343,2630685,已取得,已取得,TWD67,免
49,創維風力發電股份有限公司,C06,雲林縣,麥寮鄉,許厝寮段後安寮小段,1596,168342,2630356,已取得,已取得,TWD67,免
50,創維風力發電股份有限公司,E04,雲林縣,麥寮鄉,許厝寮段後安寮小段,1506-1,169376,2631572,已取得,已取得,TWD67,免
51,創維風力發電股份有限公司,E05,雲林縣,麥寮鄉,豐安段,1249-1,169619,2631439,已取得,已取得,TWD67,免
52,創維風力發電股份有限公司,E10,雲林縣,麥寮鄉,豐興段,756,168600,2629196,已取得,已取得,TWD67,免
53,創維風力發電股份有限公司,K02,雲林縣,麥寮鄉,豐安段,903,169934,2632241,已取得,已取得,TWD67,免
54,創維風力發電股份有限公司,K05,雲林縣,麥寮鄉,豐安段,850-32,170217,2631888,已取得,已取得,TWD67,免
55,創維風力發電股份有限公司,K20,雲林縣,台西鄉,蚊港段,823,169561,2629096,已取得,已取得,TWD67,免
56,創維風力發電股份有限公司,K22,雲林縣,台西鄉,蚊港段,517,168676,2629096,已取得,已取得,TWD67,免
57,創維風力發電股份有限公司,K38,雲林縣,台西鄉,港西段,584、587,167437,2624570,已取得,已取得,TWD67,免
58,創維風力發電股份有限公司,K23,雲林縣,台西鄉,蚊港段,530,168275,2628284,已取得,未申請,TWD67,免
59,創維風力發電股份有限公司,H02,雲林縣,台西鄉,溪頂段,168-1,166202,2622041,已取得,未申請,TWD67,免
60,創維風力發電股份有限公司,H03,雲林縣,台西鄉,溪頂段,732-3、732-2,165979,2621660,已取得,未申請,TWD67,免
61,創維風力發電股份有限公司,B01,雲林縣,台西鄉,五華段,1429,168063,2620708,已取得,未申請,TWD67,免
62,創維風力發電股份有限公司,B04,雲林縣,台西鄉,五華段,1211,168906,2620814,已取得,未申請,TWD67,免
63,創維風力發電股份有限公司,B05,雲林縣,台西鄉,五華段,1193,169219,2620788,已取得,未申請,TWD67,免
64,創維風力發電股份有限公司,B06,雲林縣,台西鄉,五華段,939,169483,2620869,已取得,未申請,TWD67,免
65,創維風力發電股份有限公司,E01-A,雲林縣,麥寮鄉,許厝寮段後安寮小段,1479-3、1470,169478,2632083,已取得,未申請,TWD67,免
67,創維風力發電股份有限公司,E06-A,雲林縣,麥寮鄉,許厝寮段後安寮小段,1564,168706,2631137,已取得,未申請,TWD67,免
68,創維風力發電股份有限公司,K16,雲林縣,麥寮鄉,許厝寮段後安寮小段,1675,167686,2629819,已取得,未申請,TWD67,免
69,創維風力發電股份有限公司,L14,雲林縣,台西鄉,旭安段,358.358-7,170198,2628744,已取得,未申請,TWD67,免
70,創維風力發電股份有限公司,K39,雲林縣,台西鄉,港西段,498,167779,2624549,已取得,未申請,TWD67,免
71,創維風力發電股份有限公司,C19-A,雲林縣,台西鄉,港西段,909,166815,2623884,已取得,未申請,TWD67,免
72,創維風力發電股份有限公司,H05,雲林縣,台西鄉,尚德段,555-2,166740,2621756,已取得,未申請,TWD67,免
73,創維風力發電股份有限公司,H07,雲林縣,台西鄉,尚德段,328、328-1、338-1、339-1,166917,2621441,已取得,未申請,TWD67,免
74,創維風力發電股份有限公司,H08,雲林縣,台西鄉,光華段,1334,167135,2621283,已取得,未申請,TWD67,免
75,創維風力發電股份有限公司,H10,雲林縣,台西鄉,尚德段,82、161-4,167084,2621145,已取得,未申請,TWD67,免
76,可威風力發電股份有限公司,B01,雲林縣,四湖鄉,三條崙段,726,161984,2616872,已取得,已取得,TWD67,通過
77,可威風力發電股份有限公司,B02,雲林縣,四湖鄉,三條崙段,731,161869,2616478,已取得,已取得,TWD67,通過
78,可威風力發電股份有限公司,B03,雲林縣,四湖鄉,三條崙段,728,162300,2616683,已取得,已取得,TWD67,通過
79,可威風力發電股份有限公司,B04,雲林縣,四湖鄉,三崙段,2244,162652,2616122,已取得,未申請,TWD67,通過
80,可威風力發電股份有限公司,B05,雲林縣,四湖鄉,萡子寮段,773,162305,2615601,已取得,申請中,TWD67,通過
81,禾風風力發電股份有限公司,B08,雲林縣,台西鄉,崙中段,144、156、157,168296,2626277,已取得,已取得,TWD67,免
82,新瑞風力發電股份有限公司,D05,雲林縣,麥寮鄉,許厝寮段許厝寮小段,786-4鄰近未登錄地,173390,2636530,申請中,未申請,TWD67,通過
83,新瑞風力發電股份有限公司,D06,雲林縣,麥寮鄉,橋頭段,2612-4鄰近未登錄地,173990,2636355,申請中,未申請,TWD67,通過
84,新瑞風力發電股份有限公司,D07,雲林縣,麥寮鄉,橋頭段,2612-4鄰近未登錄地,174586,2636174,申請中,未申請,TWD67,通過
85,新瑞風力發電股份有限公司,D08,雲林縣,麥寮鄉,橋頭段,2612-4鄰近未登錄地,175180,2635989,申請中,未申請,TWD67,通過
86,新瑞風力發電股份有限公司,D09,雲林縣,麥寮鄉,雷厝段,187-196鄰近未登錄地,175779,2635802,申請中,未申請,TWD67,通過
87,新瑞風力發電股份有限公司,D15,雲林縣,麥寮鄉,許厝寮段許厝寮小段,786-4鄰近未登錄地,172908,2635907,申請中,未申請,TWD67,通過
88,新瑞風力發電股份有限公司,D16,雲林縣,麥寮鄉,許厝寮段許厝寮小段,786-4鄰近未登錄地,173505,2635772,申請中,未申請,TWD67,通過
89,新瑞風力發電股份有限公司,D17,雲林縣,麥寮鄉,橋頭段,2612-4鄰近未登錄地,174095,2635610,申請中,未申請,TWD67,通過
90,新瑞風力發電股份有限公司,D18,雲林縣,麥寮鄉,橋頭段,2612-4鄰近未登錄地,174693,2635448,申請中,未申請,TWD67,通過
91,新瑞風力發電股份有限公司,D19,雲林縣,麥寮鄉,橋頭段,2612-4鄰近未登錄地,175243,2635104,申請中,未申請,TWD67,通過
92,新瑞風力發電股份有限公司,D20,雲林縣,麥寮鄉,雷厝段,187-196,175846,2634938,申請中,未申請,TWD67,通過
93,新瑞風力發電股份有限公司,C08,雲林縣,麥寮鄉,六輕段,54,170687,2635598,申請中,未申請,TWD67,通過
94,台電雲林台西風力發電計畫,1,雲林縣,台西鄉,台興段,193,165806,2626117,已取得,申請中,TWD97,通過
95,台電雲林台西風力發電計畫,2,雲林縣,台西鄉,台興段,193,166042,2626086,已取得,申請中,TWD97,通過
96,台電雲林台西風力發電計畫,3,雲林縣,台西鄉,台興段,220,166243,2626063,已取得,申請中,TWD97,通過
97,台電雲林台西風力發電計畫,4,雲林縣,台西鄉,台興段,220,166645,2626030,已取得,申請中,TWD97,通過
